Código del Producto,Grupo de Productos,Unidad de Medida (UdM) predeterminada,Nombre del Producto,Deshabilitado,Mantener Stock,Permitir Ventas,Permitir Compra,Precio de venta estándar,Imagen,Unidad de Medida (UdM),Unidad de Medida de Compra Predeterminada,Unidad de Medida de Ventas Predeterminada,Almacén por defecto (Valores por Defecto del Artículo),Compañía (Valores por Defecto del Artículo)
000079,VINILES ESPECIALES,Unit,VINYL DE CORTE AMARILLO,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000078,VINILES ESPECIALES,Unit,VINYL DECORTE ROSADO NEON,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000077,VINILES ESPECIALES,Unit,VINYL DE TEXTIL NARANJA NEON YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000076,VINILES ESPECIALES,Unit,VINYL DE PIZZARA WHITE BOARD FIM 1.20 X 50 M YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000075,VINILES ESPECIALES,Unit,VINYLDE CORE BLANCO YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000074,VINILES ESPECIALES,Unit,VINYL DE CORTE VERDE OSCURO YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000073,VINILES ESPECIALES,Unit,VINYL DE CORTE VERDE CLARO YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000072,VINILES ESPECIALES,Unit,VINYL DE CORTE ROSADO YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000071,VINILES ESPECIALES,Unit,VINYL DE CORTE OCRE YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000070,VINILES ESPECIALES,Unit,VINYL DE CORTE OCRE YARDAS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000069,VINILES ESPECIALES,Yard,VINYL DE CORTE NEGRO YARDA,0,1,1,1,1.33,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000068,VINILES ESPECIALES,Unit,VINYL DE CORTE NEGRO,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000067,VINILES TEXTILES,Unit,VINYL DE CORTE GRIS,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000066,VINILES ESPECIALES,Unit,VINYL DE CORTE FUXIA,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000065,VINILES ESPECIALES,Unit,VINYL DE CORTE AQUA,0,1,1,1,1.33,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000064,VINILES TEXTILES,Unit,VINYL FIBRA DE CARBON FILM 5D AZUL1.52*30M YARDAS,0,1,1,1,13.75,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000063,VINILES TEXTILES,Unit,VINYL FIBRA DE CARBON FILM 5D DORADO1.52*30M YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000062,VINILES TEXTILES,Unit,VINYL FIBRA DE CARBON FILM 5D GRIS 1.52*30M YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000061,VINILES TEXTILES,Yard,VINYL FIBRA DE CARBON FILM 5D BLACK 1.52*30M YARDA,0,1,1,1,7.65,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000060,VINILES TEXTILES,Unit,VINYL TEXTILMETALIZADO VERDE OSCURO,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000059,VINILES TEXTILES,Unit,VINYL TEXTIL VERDE OSCURO,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000058,VINILES TEXTILES,Unit,VINYL TEXTIL VERDE NEON,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000057,VINILES TEXTILES,Unit,VINYL TEXTIL ROSADO NEON YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000056,VINILES TEXTILES,Unit,VINYL TEXTIL ROJO YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000055,VINILES TEXTILES,Unit,VINYL TEXTIL NEGRO YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000054,VINILES TEXTILES,Unit,VINYL TEXTIL NARANAJA YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000053,VINILES TEXTILES,Unit,VINYL TEXTIL METALIZADO ROJO YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000052,VINILES TEXTILES,Unit,VINYL TEXTIL METALIZADO NARANJA YARDAS,0,1,1,1,8.36,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000051,VINILES TEXTILES,Unit,VINYL TEXTIL METALIZADO MORADO YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000050,VINILES TEXTILES,Unit,VINYL TEXTIL METALIZADO ACUA YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000049,VINILES TEXTILES,Unit,VINYL TEXTIL GRIS YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000048,VINILES TEXTILES,Unit,VINYL TEXTIL DORADO YARDAS,0,1,1,1,7.48,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000047,VINILES TEXTILES,Unit,VINYL TEXTIL AZUL YARDAS,0,1,1,1,7.81,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000046,VINILES TEXTILES,Unit,VINYL TEXTIL AMARILLO NEON,0,1,1,1,8.36,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000045,VINILES TEXTILES,Unit,VINYL TEXTIL AMARILLO NEON,0,1,1,1,7.48,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000044,VINILES TEXTILES,Unit,VINYL TEXTIL AMARILLO MOSTASA YARDAS,0,1,1,1,7.49,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000043,SUMINISTRO PARA ROTULACION,Unit,VINYL 1.37METROS 100 MICRAS IMAX ADHESIVE,0,1,1,1,76.56,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
LB137300T,SUMINISTRO PARA ROTULACION,Unit,LONA BANNER 300*500 18*12 1.37 TRASLUCIDA,0,1,1,1,70.80,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000042,ACCESORIOS,Unit,COSTO POR ENVIO,0,0,0,0,3.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000041,SERVICIO TÉCNICO,Unit,SERVICIO TECNICO,0,0,0,0,73.45,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000040,ACCESORIOS,Unit,COSTO DE ENVIO,0,0,0,0,5.00,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000039,SUMINISTROS DTF,Unit,PAPEL TISSUE 1.70 PARA CALANDRA SUBLIMACION,0,1,1,1,195.26,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000038,SUMINISTRO PARA SUBLIMACION,Unit,TUMBLER WITH LID 20 ONZ (VASO CON PAJILLA SUBLIMABLE),0,1,1,1,10.11,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000037,TINTAS,Unit,TINTA SUBLIMACION FLORECENTE MAGENTA 1 LITRO INK,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000036,TINTAS,Unit,TINTA SUBLIMACION FLORECENTE AMARILLA 1 LITRO INK,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000035,VINILES ESPECIALES,Unit,VYNYL ADHESIVO TRANSPARENTE 80MICRAS/1.37X50M,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000034,VINILES ESPECIALES,Unit,VYNYL ADHESIVO TRANSPARENTE 80MICRAS/1.06X50M,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000033,SUMINISTRO PARA ROTULACION,Unit,VYNYL ADHESIVO GLOSSY 100MICRAS/1.37X50M,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000032,SUMINISTRO PARA SUBLIMACION,Unit,TAZAS FONDO NARANJA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000031,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO METALICO RECTANGULAR BORDE CIRCULAR,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
JN16,SUMINISTRO PARA SUBLIMACION,Unit,JARRAS NEVADAS 16 OZ SUBLIMACION,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000030,SUMINISTRO PARA SUBLIMACION,Unit,COLA BOTTLE TERMO BLANCO 500ML,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000029,SUMINISTRO PARA SUBLIMACION,Unit,COLA BOTTLE TERMO AQUA 500ML,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000028,TINTAS,Unit,SOLVENTE FLUSH DTF UV BOTELLA NEGRA,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000027,TINTAS,Unit,SOLVENTE FLUSH SUBLIMACION,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000026,TINTAS,Unit,SOLVENTE ECO CLEAN SOLUTION 1 LITRO,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000025,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO METALICO CUADRADO SUBLIMABLE,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000024,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO DE MADERA FORMA SHAPE,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000023,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO DE MADERA FORMA CIRCULAR,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000022,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO DE MADERA FORMA OVAL,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000021,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO DE MADERA FORMA ARROW,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000020,SUMINISTRO PARA SUBLIMACION,Unit,LLAVERO DE MADERA FORMA HEXAGONAL,0,1,1,1,,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000019,LAMINADORES,Unit,LAMINADOR UV 80 MIC 1.52 X50M,0,1,1,1,84.30,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000018,LAMINADORES,Unit,LAMINADOR UV 80 MIC 1.37 X50M,0,1,1,1,75.98,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000017,LAMINADORES,Unit,LAMINADOR UV 80 MIC 1.06 X50M,0,1,1,1,56.13,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000016,SUMINISTROS DTF,Yard,GRAFICO DE PISO 1.52X50M 180MICRON/110GRS FLOOR FILM YARDS,0,1,1,1,,,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000015,SUMINISTROS DTF,Unit,FILM DTF UV 60X100 AB,0,1,1,1,265.54,,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000014,ACCESORIOS,Unit,MOLDE BOTON 37 MM,0,1,1,1,,image/art_MOLDEDEBOTON.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000013,VINILES TEXTILES,Unit,VINIL TEXTIL RED ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000012,VINILES TEXTILES,Unit,VINIL TEXTIL NEON PINK ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000011,VINILES TEXTILES,Unit,VINIL TEXTIL NAVY BLUE ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000010,VINILES TEXTILES,Unit,VINIL TEXTIL LEMON YELLOW ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000009,VINILES TEXTILES,Unit,VINIL TEXTIL KELLY GREEN ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000008,VINILES TEXTILES,Unit,VINIL TEXTIL NEON ORANGE ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000007,VINILES TEXTILES,Unit,VINIL TEXTIL NEON YELLOW ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000006,VINILES TEXTILES,Unit,VINIL TEXTIL GOLDEN ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000005,VINILES TEXTILES,Unit,VINIL TEXTIL SILVER ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000004,VINILES TEXTILES,Unit,VINIL TEXTIL NEON GREEN ROLLO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
000003,VINILES ESPECIALES,Yard,VINYL DE CORTE 60CM *45.7 M GRIS OSCURO YARDA,0,1,1,1,1.33,image/art_VINILTEXTIL.png,Yard,Yard,Yard,CASA MATRIZ - Imgraf,Importadora Grafica
000002,VINILES ESPECIALES,Unit,VINYL DE CORTE 60CM *45.7 M AZUL CLARO,0,1,1,1,,image/art_VINILTEXTIL.png,Unit,Unit,Unit,CASA MATRIZ - Imgraf,Importadora Grafica
